Unnamed: 1,name,birth_year,death_year
associatedWith,"Fairbanks, Charles Mason, b. 1855,",,
associatedWith,"Fairbanks, Mary Mason,",,
associatedWith,"Fairbanks, Mary Mason",1828,1898
associatedWith,"Fairbanks, Mary Mason.",,
associatedWith,"Fairchild, Charles, Mrs,",,
associatedWith,"Faulkner, Barry",1881,1966
associatedWith,"Ferguson, Henry",1848,1917
correspondedWith,"Field, Stephen Johnson",1816,1899
associatedWith,"Fischer, Henry W. (Henry William)",1856,1932
associatedWith,"Fiske, Albert Rantoul.",,
associatedWith,"Fitzgerald, F. Scott (Francis Scott)",1896,1940
associatedWith,"Flaubert, Gustave",,
correspondedWith,"Flower, C. E. (Charles Edward)",1830,1892
associatedWith,"Foley, Donald L.",,
associatedWith,"Foley, Katharine",,
associatedWith,"Forbes, W. Cameron (William Cameron)",1870,1959
associatedWith,"Forsslund, Louise.",,
associatedWith,"Foster, Ernest Moore",1881,1955
associatedWith,"Foster, Florida Hale",,
associatedWith,"Foster, Virginia",,
associatedWith,"Frazer, Laura Hawkins",,
associatedWith,"Freeman, Zoheth S.",,
associatedWith,"Frohman, Charles",1860,1915
associatedWith,"Frohman, Daniel",1851,1940
correspondedWith,"Frohman, Daniel",1851,1940
associatedWith,"Frost, A. B. (Arthur Burdett)",1851,1928
associatedWith,"Fuller, Frank .1827 -?",,
associatedWith,"Fuller, Frank",1868,1946
associatedWith,"Fuller, Frank, b. 1827.",,
associatedWith,"Fuller, Frank.",,
associatedWith,"Fuller, Franklin",,
associatedWith,"Fuller, Franklin.",,
associatedWith,"Gable, William F",1856,1921
associatedWith,"Gabrilowitsch, Nina Clemens",1910,1966
associatedWith,"Gabrilowitsch, Ossip",1878,1936
associatedWith,"Galsworthy, John",1867,1933
associatedWith,"Garfield, James A. (James Abram)",1831,1881
associatedWith,"Garwick, Joseph Daniel.",,
associatedWith,"Gerhardt, Karl, b. 1853.",,
associatedWith,"Gerhardt, Karl.",,
associatedWith,"Gibson, Jay Hollis.",,
associatedWith,"Gilder, Helena de Kay, d. 1916.",,
associatedWith,"Gilder, Richard Watson",1844,1909
